a,eta,x_exact,x_approx,delta_x_percent,tau_exact,tau2,delta_tau_percent,tau_ph
10.0,0.5,0.1276259652063808,0.4288676983713024,236.0348325,0.5210953054937474,0.4087965017941046,21.55053068,0.5
10.0,1.0,0.5430806348152438,1.074543067538127,97.86068562,1.175201193643801,0.9021870893036668,23.23126506,1.0
10.0,1.5,1.352409615243247,2.022014507771448,49.51198845,2.129279455094817,1.398683418095518,34.31189059,1.5
10.0,2.0,2.762195691083631,3.511209012328924,27.11659147,3.626860407847019,1.895869991726632,47.72696551,2.0
10.0,3.0,9.067661995777766,9.869639920261501,8.844373829,10.0178749274099,2.890747903982164,71.14410067,3.0
10.0,4.0,26.30823283601649,27.05565313084411,2.841012924,27.28991719712775,3.885763920132977,85.76117365,4.0
5.0,0.5,0.1276259652063808,0.3536581560441074,177.1051764,0.5210953054937474,0.3356842210390896,35.58103144,0.5
5.0,1.0,0.5430806348152438,0.9760077386256971,79.71691054,1.175201193643801,0.8108235464057572,31.00555456,1.0
5.0,1.5,1.352409615243247,1.904460089566632,40.81976852,2.129279455094817,1.297238799201282,39.07616043,1.5
5.0,2.0,2.762195691083631,3.369317093094354,21.97966654,3.626860407847019,1.786262095493488,50.74908062,2.0
5.0,3.0,9.067661995777766,9.632909060032719,6.233658296,10.0178749274099,2.766233585213072,72.38702215,3.0
5.0,4.0,26.30823283601649,26.56834874303652,0.9887243611,27.28991719712775,3.746733212660062,86.2706318,4.0
50.0,0.5,0.1276259652063808,0.5013825501711535,292.8530917,0.5210953054937474,0.4803378201004561,7.821503085,0.5
50.0,1.0,0.5430806348152438,1.155144289953183,112.7021691,1.175201193643801,0.9800678746641026,16.60424785,1.0
50.0,1.5,1.352409615243247,2.108955593808903,55.94059448,2.129279455094817,1.479926286656657,30.49638068,1.5
50.0,2.0,2.762195691083631,3.606198360730073,30.55549874,3.626860407847019,1.979812830002041,45.41248884,2.0
50.0,3.0,9.067661995777766,9.995899902419366,10.2367943,10.0178749274099,2.979606424965027,70.25710097,3.0
50.0,4.0,26.30823283601649,27.26447617165708,3.634768407,27.28991719712775,3.97940562572749,85.41803701,4.0
